"Date","Rainfall"
"2008-01-01",0
"2008-01-02",0
"2008-01-03",0
"2008-01-04",0
"2008-01-05",0
"2008-01-06",5.60297012329102
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0
"2008-01-14",0
"2008-01-15",0
"2008-01-16",3.93371200561523
"2008-01-17",3.44199776649475
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0
"2008-01-26",0
"2008-01-27",0
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",7.98807382583618
"2008-02-04",0
"2008-02-05",0
"2008-02-06",0
"2008-02-07",0
"2008-02-08",0
"2008-02-09",0
"2008-02-10",0
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",1.51497042179108
"2008-02-26",0
"2008-02-27",0
"2008-02-28",0
"2008-02-29",0
"2008-03-01",0
"2008-03-02",0
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0
"2008-03-06",0
"2008-03-07",0
"2008-03-08",0
"2008-03-09",0
"2008-03-10",9.03395652770996
"2008-03-11",0
"2008-03-12",0
"2008-03-13",0
"2008-03-14",0
"2008-03-15",0
"2008-03-16",0
"2008-03-17",0
"2008-03-18",0
"2008-03-19",0
"2008-03-20",0
"2008-03-21",0
"2008-03-22",0
"2008-03-23",0
"2008-03-24",0
"2008-03-25",0
"2008-03-26",0
"2008-03-27",0
"2008-03-28",0
"2008-03-29",0
"2008-03-30",0
"2008-03-31",0
"2008-04-01",4.88735151290894
"2008-04-02",4.88735151290894
"2008-04-03",0
"2008-04-04",2.44367575645447
"2008-04-05",0
"2008-04-06",0
"2008-04-07",0
"2008-04-08",0
"2008-04-09",0
"2008-04-10",0
"2008-04-11",0
"2008-04-12",0
"2008-04-13",0
"2008-04-14",0
"2008-04-15",0
"2008-04-16",0
"2008-04-17",0
"2008-04-18",0
"2008-04-19",0
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0
"2008-04-24",0
"2008-04-25",0
"2008-04-26",0
"2008-04-27",0
"2008-04-28",0
"2008-04-29",0
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",3.74293923377991
"2008-05-15",0
"2008-05-16",0
"2008-05-17",3.55123686790466
"2008-05-18",0
"2008-05-19",0
"2008-05-20",7.10247373580933
"2008-05-21",0
"2008-05-22",16.4019908905029
"2008-05-23",0
"2008-05-24",0
"2008-05-25",0
"2008-05-26",0
"2008-05-27",0
"2008-05-28",0
"2008-05-29",0
"2008-05-30",0
"2008-05-31",21.7297210693359
"2008-06-01",0
"2008-06-02",0
"2008-06-03",0
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0
"2008-06-07",10.7423400878906
"2008-06-08",0
"2008-06-09",0
"2008-06-10",0
"2008-06-11",0
"2008-06-12",0
"2008-06-13",13.6721086502075
"2008-06-14",0
"2008-06-15",20.5081634521484
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0
"2008-06-25",0
"2008-06-26",0
"2008-06-27",31.9114780426025
"2008-06-28",0
"2008-06-29",10.6371593475342
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0
"2008-07-04",12.1658525466919
"2008-07-05",36.4975547790527
"2008-07-06",18.8102722167969
"2008-07-07",6.27009153366089
"2008-07-08",25.0803661346436
"2008-07-09",12.5401830673218
"2008-07-10",0
"2008-07-11",0
"2008-07-12",31.4262733459473
"2008-07-13",0
"2008-07-14",18.8557643890381
"2008-07-15",0
"2008-07-16",0
